10,11,3
10,29,3
10,9,3
-1
11,9,17
11,10,17
11,3,17
-1
1,29,17
1,9,17
1,3,17
-1
10,23,11
10,9,11
10,4,11
-1
1,29,18
1,15,18
1,8,18
-1
18,29,9
18,15,9
18,1,9
-1
28,8,15
28,29,15
28,16,15
-1
12,1,3
12,9,3
12,29,3
-1
11,9,3
11,29,3
11,10,3
-1
28,8,10
28,11,10
28,29,10
-1
13,9,8
13,3,8
13,29,8
-1
3,9,29
3,1,29
3,28,29
-1
4,29,9
4,2,9
4,1,9
-1
17,3,28
17,9,28
17,29,28
-1
23,1,12
23,11,12
23,10,12
-1
13,8,3
13,1,3
13,29,3
-1
9,29,3
9,17,3
9,1,3
-1
19,1,12
19,9,12
19,8,12
-1
2,9,10
2,4,10
2,11,10
-1
18,9,29
18,15,29
18,8,29
-1
12,1,8
12,9,8
12,18,8
-1
22,8,23
22,29,23
22,9,23
-1
3,1,12
3,29,12
3,9,12
-1
14,12,9
14,29,9
14,1,9
-1
9,1,29
9,17,29
9,8,29
-1
2,9,19
2,4,19
2,8,19
-1
12,1,4
12,9,4
12,2,4
-1
18,15,3
18,29,3
18,17,3
-1
10,11,23
10,9,23
10,29,23
-1
16,29,15
16,8,15
16,1,15
-1
12,1,15
12,8,15
12,16,15
-1
3,10,11
3,9,11
3,23,11
-1
9,29,19
9,17,19
9,1,19
-1
7,8,15
7,9,15
7,16,15
-1
29,9,28
29,1,28
29,3,28
-1
10,11,8
10,9,8
10,29,8
-1
9,12,14
9,17,14
9,29,14
-1
19,8,22
19,9,22
19,15,22
-1
18,15,22
18,8,22
18,29,22
-1
28,8,23
28,29,23
28,19,23
-1
29,9,8
29,1,8
29,15,8
-1
2,29,1
2,9,1
2,4,1
-1
15,29,3
15,9,3
15,8,3
-1
24,1,12
24,4,12
24,8,12
-1
19,9,17
19,8,17
19,23,17
-1
15,29,1
15,9,1
15,16,1
-1
3,9,8
3,29,8
3,15,8
-1
8,15,16
8,29,16
8,19,16
-1
2,9,8
2,4,8
2,19,8
-1
8,9,19
8,16,19
8,15,19
-1
17,1,12
17,29,12
17,9,12
-1
16,29,17
16,9,17
16,1,17
-1
15,9,23
15,8,23
15,29,23
-1
