10,29,9,19,23,11,3
10,4,2,9,29,1,3
10,8,16,29,9,17,3
-1
11,8,15,16,29,9,17
11,10,4,2,9,29,17
11,16,29,9,17,3,17
-1
1,29,9,8,19,10,17
1,16,29,9,17,3,17
1,9,19,8,15,18,17
-1
10,23,19,9,29,1,11
10,8,16,29,9,4,11
10,29,9,17,3,19,11
-1
1,8,9,29,16,15,18
1,29,9,17,19,8,18
1,8,9,29,4,2,18
-1
18,19,8,9,29,1,9
18,15,8,19,29,1,9
18,16,29,9,17,3,9
-1
28,15,16,29,9,8,15
28,1,29,4,2,19,15
28,8,15,18,29,9,15
-1
12,1,29,9,8,15,3
12,8,16,29,9,17,3
12,29,9,17,3,28,3
-1
11,8,15,16,29,9,3
11,10,4,2,9,29,3
11,8,16,29,9,17,3
-1
28,8,29,9,19,23,10
28,4,10,11,23,19,10
28,8,9,29,4,2,10
-1
13,8,15,16,29,9,8
13,29,9,17,3,19,8
13,8,9,29,1,12,8
-1
3,8,15,16,29,9,29
3,19,8,9,29,1,29
3,15,16,29,9,28,29
-1
4,19,8,9,29,1,9
4,9,2,29,1,12,9
4,24,2,17,1,29,9
-1
17,1,29,3,9,8,28
17,8,9,29,4,2,28
17,16,15,18,12,1,28
-1
23,19,8,9,29,1,12
23,10,11,19,8,15,12
23,3,17,9,29,1,12
-1
13,8,9,29,1,12,3
13,8,16,29,9,17,3
13,8,16,29,9,4,3
-1
9,19,8,16,29,1,3
9,1,29,3,17,8,3
9,17,29,1,2,4,3
-1
19,1,29,9,8,15,12
19,4,11,23,10,2,12
19,8,16,29,9,17,12
-1
2,16,29,9,19,23,10
2,16,29,9,4,23,10
2,4,10,11,23,19,10
-1
18,8,15,16,29,9,29
18,29,1,9,8,15,29
18,16,29,9,17,3,29
-1
12,1,29,9,2,4,8
12,18,15,1,29,9,8
12,29,9,17,3,28,8
-1
22,29,9,8,15,18,23
22,1,29,4,2,19,23
22,9,2,4,10,11,23
-1
3,19,8,9,29,1,12
3,29,9,19,8,15,12
3,17,9,29,16,15,12
-1
14,12,1,29,17,8,9
14,18,15,8,19,29,9
14,22,15,3,17,1,9
-1
9,29,1,12,8,15,29
9,17,3,1,15,8,29
9,23,10,19,8,16,29
-1
2,8,15,16,29,9,19
2,8,16,29,9,4,19
2,16,29,9,17,3,19
-1
12,1,29,9,8,15,4
12,8,9,29,4,2,4
12,8,19,23,11,10,4
-1
18,15,8,19,9,29,3
18,8,16,29,9,17,3
18,8,16,29,9,4,3
-1
10,29,9,19,23,11,23
10,4,2,9,29,1,23
10,8,29,1,9,19,23
-1
16,19,8,9,29,1,15
16,9,19,8,15,18,15
16,1,29,9,17,3,15
-1
12,1,29,9,8,17,15
12,8,16,1,29,9,15
12,9,19,8,15,18,15
-1
3,8,19,23,11,10,11
3,15,16,29,9,19,11
3,15,16,29,9,28,11
-1
9,19,8,16,29,1,19
9,1,29,3,17,8,19
9,12,1,29,4,2,19
-1
7,15,16,29,9,8,15
7,4,2,9,29,1,15
7,4,24,9,29,1,15
-1
29,1,9,15,8,19,28
29,19,1,9,17,3,28
29,19,8,16,15,18,28
-1
10,11,23,19,9,29,8
10,29,9,19,8,15,8
10,4,2,9,29,1,8
-1
9,8,17,29,1,12,14
9,1,29,19,8,15,14
9,17,29,3,28,13,14
-1
19,15,16,29,9,8,22
19,4,11,23,10,2,22
19,29,9,17,3,8,22
-1
18,29,9,19,8,15,22
18,16,29,9,17,3,22
18,8,9,29,1,12,22
-1
28,15,16,29,9,8,23
28,1,29,4,2,19,23
28,9,2,4,10,11,23
-1
29,3,1,9,15,16,8
29,1,9,4,2,19,8
29,9,19,8,15,18,8
-1
2,10,19,8,9,29,1
2,8,16,29,9,4,1
2,16,29,9,17,3,1
-1
15,19,8,9,29,1,3
15,19,8,16,1,29,3
15,8,16,29,9,17,3
-1
24,19,8,9,29,1,12
24,8,16,29,9,4,12
24,8,15,18,29,9,12
-1
19,8,15,16,29,9,17
19,17,4,11,23,10,17
19,16,29,9,17,3,17
-1
15,19,8,9,29,16,1
15,8,9,29,1,12,1
15,16,29,9,17,19,1
-1
3,15,16,29,9,19,8
3,15,16,29,9,28,8
3,17,9,29,16,15,8
-1
8,9,29,1,16,15,16
8,19,9,29,1,15,16
8,4,2,9,29,1,16
-1
2,8,15,16,29,9,8
2,8,16,29,9,4,8
2,15,16,29,9,19,8
-1
8,18,15,16,29,9,19
8,19,9,29,4,2,19
8,16,29,9,17,3,19
-1
17,19,8,9,29,1,12
17,3,9,29,16,15,12
17,9,19,8,15,18,12
-1
16,19,8,9,29,1,17
16,1,29,9,17,3,17
16,8,15,18,29,9,17
-1
15,19,8,16,29,9,23
15,9,2,4,10,11,23
15,18,12,1,29,9,23
-1
