9,11,15
9,2,15
9,1,15
-1
5,11,13
5,8,13
5,1,13
-1
2,11,8
2,4,8
2,1,8
-1
11,5,13
11,2,13
11,4,13
-1
10,13,11
10,5,11
10,6,11
-1
11,2,6
11,4,6
11,5,6
-1
10,2,14
10,15,14
10,17,14
-1
15,13,11
15,5,11
15,6,11
-1
7,11,5
7,15,5
7,17,5
-1
13,11,15
13,10,15
13,17,15
-1
10,5,8
10,11,8
10,17,8
-1
6,5,1
6,16,1
6,13,1
-1
8,11,9
8,1,9
8,5,9
-1
6,5,11
6,13,11
6,17,11
-1
5,11,8
5,2,8
5,13,8
-1
15,2,14
15,10,14
15,3,14
-1
17,5,16
17,9,16
17,11,16
-1
17,2,3
17,11,3
17,10,3
-1
3,11,9
3,4,9
3,1,9
-1
3,5,1
3,4,1
3,16,1
-1
1,5,10
1,2,10
1,17,10
-1
6,11,5
6,17,5
6,15,5
-1
15,2,4
15,5,4
15,17,4
-1
14,2,3
14,7,3
14,4,3
-1
17,2,4
17,5,4
17,15,4
-1
11,13,5
11,17,5
11,10,5
-1
3,11,16
3,5,16
3,9,16
-1
10,5,16
10,9,16
10,11,16
-1
7,2,4
7,9,4
7,3,4
-1
15,10,17
15,11,17
15,13,17
-1
13,11,8
13,5,8
13,10,8
-1
11,5,8
11,2,8
11,9,8
-1
7,11,13
7,17,13
7,15,13
-1
2,11,16
2,4,16
2,1,16
-1
14,2,4
14,7,4
14,5,4
-1
2,9,4
2,3,4
2,1,4
-1
13,11,7
13,17,7
13,15,7
-1
1,2,14
1,7,14
1,9,14
-1
6,2,4
6,11,4
6,5,4
-1
2,11,13
2,4,13
2,17,13
-1
16,1,2
16,11,2
16,5,2
-1
5,8,1
5,13,1
5,16,1
-1
5,2,4
5,8,4
5,1,4
-1
