17,9,29,4,2,1,8
17,9,29,18,15,16,8
17,4,2,23,11,10,8
-1
8,11,23,15,16,29,9
8,18,29,1,3,17,9
8,12,1,29,23,19,9
-1
8,9,17,16,29,1,4
8,9,29,16,15,18,4
8,9,19,29,16,15,4
-1
8,16,29,1,3,9,17
8,16,15,18,29,3,17
8,15,23,19,9,29,17
-1
17,8,18,29,1,12,9
17,12,1,29,3,15,9
17,3,28,29,1,18,9
-1
4,2,9,29,1,12,24
4,23,11,10,15,7,24
4,9,29,1,8,15,24
-1
23,11,10,8,15,18,3
23,19,9,17,29,4,3
23,8,10,29,1,16,3
-1
23,11,19,10,13,8,4
23,29,1,9,19,8,4
23,19,17,9,29,1,4
-1
15,16,8,29,1,3,9
15,18,22,1,16,29,9
15,16,29,1,3,17,9
-1
10,11,4,2,29,1,28
10,16,29,9,17,3,28
10,29,1,16,8,18,28
-1
16,11,29,1,9,17,8
16,19,1,29,18,15,8
16,10,15,29,9,1,8
-1
18,1,16,29,9,4,19
18,15,16,29,9,3,19
18,15,16,8,29,9,19
-1
4,19,2,17,9,29,1
4,24,2,19,18,15,1
4,8,3,10,11,23,1
-1
28,19,15,8,22,18,16
28,19,8,9,29,1,16
28,3,13,19,8,15,16
-1
29,1,9,8,17,19,16
29,9,1,12,18,15,16
29,4,9,19,8,15,16
-1
17,8,9,1,12,18,29
17,16,15,9,3,28,29
17,23,19,4,24,2,29
-1
19,15,18,22,16,29,9
19,29,18,15,16,8,9
19,23,4,2,24,7,9
-1
9,28,8,12,1,29,23
9,19,2,4,10,11,23
9,8,18,1,17,29,23
-1
1,16,29,9,17,3,19
1,9,29,16,15,8,19
1,16,29,9,4,23,19
-1
9,17,29,4,8,3,10
9,15,8,19,23,11,10
9,28,17,3,29,1,10
-1
24,23,8,10,29,16,15
24,19,8,9,29,16,15
24,2,19,18,8,16,15
-1
29,16,1,9,17,19,4
29,1,3,9,2,19,4
29,1,3,9,8,15,4
-1
4,24,2,16,15,18,19
4,24,29,9,15,8,19
4,7,23,10,11,8,19
-1
23,11,29,19,8,15,10
23,19,9,17,29,3,10
23,15,9,17,4,2,10
-1
18,29,9,19,8,15,16
18,29,4,1,8,19,16
18,2,7,8,19,15,16
-1
17,9,29,1,12,14,3
17,9,29,1,4,2,3
17,28,29,1,15,16,3
-1
13,3,17,29,9,8,19
13,8,12,1,29,9,19
13,29,23,4,24,2,19
-1
11,17,23,10,15,8,19
11,4,2,29,1,16,19
11,29,1,9,8,17,19
-1
1,29,9,19,23,10,7
1,29,19,4,2,24,7
1,18,29,3,9,17,7
-1
12,16,29,9,3,28,13
12,18,1,16,29,9,13
12,29,17,19,16,3,13
-1
12,2,17,9,1,29,18
12,2,9,1,29,15,18
12,16,8,9,17,29,18
-1
29,1,9,19,23,11,10
29,1,9,4,23,19,10
29,1,9,4,8,3,10
-1
15,16,8,29,1,9,17
15,18,29,1,3,9,17
15,1,12,29,3,28,17
-1
17,29,4,2,3,10,11
17,29,1,3,9,2,11
17,4,24,7,23,10,11
-1
16,29,1,9,17,19,10
16,8,15,29,19,11,10
16,15,8,19,23,11,10
-1
22,15,16,8,9,18,12
22,15,16,29,9,1,12
22,19,23,10,9,29,12
-1
8,9,29,16,1,17,15
8,9,18,29,1,3,15
8,19,9,10,29,16,15
-1
8,9,17,29,3,10,11
8,29,9,19,23,10,11
8,16,29,1,3,9,11
-1
11,15,19,23,8,10,4
11,19,9,8,17,29,4
11,15,29,19,10,2,4
-1
22,12,1,29,9,18,15
22,9,18,29,1,16,15
22,18,9,1,16,8,15
-1
9,15,16,27,1,18,20
9,17,3,28,29,18,20
9,29,18,15,16,8,20
-1
15,12,16,29,3,17,28
15,16,29,9,17,3,28
15,17,3,12,1,18,28
-1
15,23,19,10,9,17,29
15,16,8,9,17,1,29
15,18,22,9,16,1,29
-1
9,28,29,8,16,1,17
9,29,18,15,1,3,17
9,29,4,2,8,15,17
-1
4,24,2,19,15,18,3
4,9,29,8,17,1,3
4,11,2,24,7,8,3
-1
24,8,23,17,9,29,1
24,8,3,17,4,2,1
24,7,3,17,18,12,1
-1
23,29,4,2,17,9,1
23,19,9,11,10,29,1
23,9,29,8,15,12,1
-1
16,29,9,17,3,28,4
16,8,15,29,19,10,4
16,1,29,3,28,17,4
-1
19,15,16,8,9,17,29
19,4,24,13,1,9,29
19,23,11,10,4,24,29
-1
1,15,23,19,9,17,29
1,16,8,18,19,15,29
1,15,9,3,17,28,29
-1
9,17,29,18,16,1,8
9,1,12,18,15,16,8
9,19,23,10,11,15,8
-1
7,11,23,15,16,29,9
7,4,8,19,16,15,9
7,16,29,1,3,17,9
-1
19,23,11,10,4,24,2
19,8,9,18,1,29,2
19,8,9,17,29,4,2
-1
