17,9,8
17,15,8
17,29,8
-1
8,29,9
8,16,9
8,15,9
-1
8,9,4
8,16,4
8,18,4
-1
8,9,17
8,16,17
8,1,17
-1
17,29,9
17,3,9
17,28,9
-1
4,2,24
4,11,24
4,9,24
-1
23,11,3
23,19,3
23,10,3
-1
23,11,4
23,19,4
23,10,4
-1
15,29,9
15,16,9
15,18,9
-1
10,11,28
10,3,28
10,29,28
-1
16,29,8
16,15,8
16,1,8
-1
18,29,19
18,15,19
18,9,19
-1
4,2,1
4,29,1
4,9,1
-1
28,15,16
28,9,16
28,8,16
-1
29,1,16
29,15,16
29,9,16
-1
17,9,29
17,1,29
17,3,29
-1
19,29,9
19,8,9
19,4,9
-1
9,29,23
9,11,23
9,17,23
-1
1,29,19
1,9,19
1,3,19
-1
9,29,10
9,11,10
9,17,10
-1
24,8,15
24,16,15
24,9,15
-1
29,9,4
29,1,4
29,3,4
-1
4,2,19
4,9,19
4,24,19
-1
23,11,10
23,19,10
23,9,10
-1
18,15,16
18,29,16
18,8,16
-1
17,9,3
17,29,3
17,4,3
-1
13,3,19
13,8,19
13,9,19
-1
11,10,19
11,4,19
11,29,19
-1
1,29,7
1,24,7
1,10,7
-1
12,28,13
12,1,13
12,3,13
-1
12,1,18
12,15,18
12,29,18
-1
29,9,10
29,1,10
29,11,10
-1
15,9,17
15,29,17
15,3,17
-1
17,10,11
17,9,11
17,23,11
-1
16,29,10
16,8,10
16,11,10
-1
22,18,12
22,1,12
22,16,12
-1
8,16,15
8,18,15
8,9,15
-1
8,10,11
8,23,11
8,16,11
-1
11,10,4
11,9,4
11,29,4
-1
22,18,15
22,16,15
22,8,15
-1
9,18,20
9,29,20
9,8,20
-1
15,3,28
15,29,28
15,9,28
-1
15,9,29
15,16,29
15,18,29
-1
9,29,17
9,1,17
9,3,17
-1
4,2,3
4,29,3
4,9,3
-1
24,29,1
24,8,1
24,9,1
-1
23,29,1
23,11,1
23,19,1
-1
16,29,4
16,9,4
16,8,4
-1
19,9,29
19,8,29
19,16,29
-1
1,9,29
1,16,29
1,17,29
-1
9,29,8
9,17,8
9,15,8
-1
7,29,9
7,8,9
7,23,9
-1
19,4,2
19,9,2
19,10,2
-1
