6,23,21
6,22,21
6,28,21
-1
19,23,21
19,22,21
19,16,21
-1
17,22,11
17,25,11
17,6,11
-1
25,22,29
25,11,29
25,6,29
-1
16,23,21
16,4,21
16,8,21
-1
22,30,16
22,28,16
22,4,16
-1
25,1,15
25,11,15
25,22,15
-1
6,22,11
6,25,11
6,23,11
-1
25,30,7
25,22,7
25,11,7
-1
27,22,11
27,25,11
27,29,11
-1
21,28,23
21,22,23
21,30,23
-1
16,28,23
16,21,23
16,4,23
-1
25,11,24
25,6,24
25,22,24
-1
28,22,6
28,23,6
28,21,6
-1
3,30,6
3,22,6
3,21,6
-1
27,23,30
27,7,30
27,21,30
-1
25,4,8
25,11,8
25,22,8
-1
7,30,22
7,28,22
7,23,22
-1
30,16,8
30,4,8
30,7,8
-1
10,30,22
10,28,22
10,16,22
-1
25,11,30
25,6,30
25,22,30
-1
23,28,21
23,30,21
23,22,21
-1
21,23,4
21,16,4
21,22,4
-1
16,8,30
16,4,30
16,7,30
-1
28,30,16
28,22,16
28,23,16
-1
23,30,16
23,28,16
23,4,16
-1
6,22,8
6,4,8
6,23,8
-1
30,7,16
30,8,16
30,4,16
-1
3,30,25
3,23,25
3,21,25
-1
16,8,4
16,1,4
16,30,4
-1
8,16,4
8,30,4
8,1,4
-1
22,28,25
22,21,25
22,30,25
-1
