17,9,29,4,2,1,15,19,8
17,4,2,24,23,11,10,19,8
17,3,28,29,1,18,9,16,8
-1
8,10,4,11,23,15,16,29,9
8,15,18,29,16,1,3,17,9
8,18,12,1,29,23,19,10,9
-1
8,9,10,17,16,29,3,1,4
8,9,29,16,15,18,19,10,4
8,10,28,9,1,16,29,2,4
-1
8,16,29,1,3,15,18,9,17
8,22,18,15,23,19,9,29,17
8,28,1,9,16,15,18,29,17
-1
17,15,16,8,18,29,1,12,9
17,28,8,12,1,29,3,15,9
17,19,16,10,29,1,4,2,9
-1
4,2,17,9,18,29,1,12,24
4,9,19,23,11,10,15,7,24
4,9,29,1,10,8,15,18,24
-1
23,11,19,10,8,22,15,18,3
23,29,8,1,9,17,19,16,3
23,10,11,19,4,24,2,17,3
-1
23,11,19,10,13,8,22,18,4
23,29,1,9,19,16,15,8,4
23,19,10,11,17,9,29,1,4
-1
15,16,8,18,29,1,3,17,9
15,3,28,19,8,16,29,1,9
15,8,22,16,29,1,3,17,9
-1
10,11,4,2,9,3,29,1,28
10,8,15,16,29,9,17,3,28
10,18,8,16,29,9,17,3,28
-1
16,11,29,1,3,9,2,17,8
16,4,2,19,1,29,18,15,8
16,10,15,29,9,3,28,1,8
-1
18,1,16,29,9,4,10,3,19
18,15,16,29,9,3,28,13,19
18,15,16,8,29,9,17,3,19
-1
4,10,11,19,2,17,9,29,1
4,24,2,19,18,15,8,16,1
4,10,9,29,3,17,8,12,1
-1
28,19,10,11,15,8,22,18,16
28,19,8,9,29,18,1,17,16
28,3,13,29,9,19,8,15,16
-1
29,1,3,9,2,8,17,19,16
29,2,17,9,1,12,18,15,16
29,1,4,2,9,19,8,15,16
-1
17,8,9,1,12,18,15,16,29
17,8,16,15,9,3,28,13,29
17,23,11,10,19,4,24,2,29
-1
19,15,18,22,16,29,8,12,9
19,1,29,23,4,2,24,7,9
19,8,15,16,29,1,3,17,9
-1
9,18,15,28,8,12,1,29,23
9,29,19,3,2,4,10,11,23
9,8,18,15,16,1,17,29,23
-1
1,8,16,29,9,17,3,28,19
1,16,29,9,17,4,23,11,19
1,29,3,9,2,8,4,10,19
-1
9,17,29,4,2,8,15,3,10
9,29,18,15,8,19,23,11,10
9,28,17,3,15,8,29,1,10
-1
24,23,19,11,8,10,29,16,15
24,11,23,19,8,9,29,16,15
24,2,19,18,11,23,8,16,15
-1
29,16,1,9,8,17,15,19,4
29,1,3,9,2,19,8,15,4
29,18,15,8,19,23,11,10,4
-1
4,24,2,9,29,16,15,18,19
4,2,24,9,29,16,15,8,19
4,2,24,7,23,10,11,8,19
-1
23,11,1,29,9,19,8,15,10
23,11,16,15,9,17,4,2,10
23,29,9,4,2,8,15,3,10
-1
18,11,29,1,9,19,8,15,16
18,2,7,8,3,19,9,15,16
18,29,8,9,3,28,17,15,16
-1
17,9,29,8,15,1,12,14,3
17,9,29,16,1,4,24,2,3
17,28,9,29,1,12,15,16,3
-1
13,3,17,1,29,9,8,15,19
13,1,3,29,23,4,24,2,19
13,8,16,29,17,4,24,2,19
-1
11,3,17,4,23,10,15,8,19
11,29,1,3,9,8,17,15,19
11,2,4,23,10,15,8,18,19
-1
1,16,29,9,19,23,11,10,7
1,16,29,9,19,4,2,24,7
1,18,15,16,29,3,9,17,7
-1
12,15,16,29,9,17,3,28,13
12,18,1,16,29,9,17,19,13
12,18,15,16,8,29,3,28,13
-1
12,2,17,9,1,3,29,28,18
12,2,17,9,1,29,3,15,18
12,15,16,8,9,17,29,1,18
-1
29,8,16,1,9,19,23,11,10
29,8,12,1,9,4,23,19,10
29,1,9,17,19,4,8,3,10
-1
15,16,8,18,29,1,3,9,17
15,16,8,1,12,29,3,28,17
15,23,19,10,11,9,29,3,17
-1
17,29,4,2,3,19,18,10,11
17,29,1,3,9,2,4,10,11
17,4,2,24,7,3,23,10,11
-1
16,29,1,9,17,19,23,3,10
16,8,15,29,19,23,11,24,10
16,29,9,17,3,28,4,24,10
-1
22,15,16,8,9,17,29,18,12
22,18,15,16,29,17,9,1,12
22,19,23,11,10,9,29,3,12
-1
8,9,29,16,1,17,4,2,15
8,9,18,29,1,3,17,2,15
8,23,11,19,9,10,29,16,15
-1
8,23,19,9,17,29,3,10,11
8,18,15,16,29,1,3,9,11
8,1,29,3,9,2,4,10,11
-1
11,29,18,15,19,23,8,10,4
11,23,19,9,8,17,29,3,4
11,15,9,29,1,19,10,2,4
-1
22,12,1,16,29,9,18,17,15
22,18,9,1,16,8,19,29,15
22,4,23,11,10,8,18,16,15
-1
9,15,19,8,16,27,1,18,20
9,17,3,28,29,18,12,22,20
