10,11,4,2,3
10,9,29,8,3
10,29,9,17,3
-1
11,10,29,9,17
11,9,29,3,17
11,29,1,9,17
-1
1,29,3,9,17
1,29,2,9,17
1,29,19,9,17
-1
10,9,19,23,11
10,9,4,2,11
10,29,1,9,11
-1
1,9,29,8,18
1,8,16,15,18
1,29,19,8,18
-1
18,12,1,29,9
18,15,16,8,9
18,29,3,17,9
-1
28,19,8,29,15
28,19,8,16,15
28,29,1,16,15
-1
12,1,29,9,3
12,29,9,17,3
12,1,29,18,3
-1
11,9,29,1,3
11,23,10,15,3
11,29,9,17,3
-1
28,15,8,19,10
28,9,29,8,10
28,19,23,11,10
-1
13,9,1,29,8
13,29,1,3,8
13,29,18,15,8
-1
3,19,9,17,29
3,28,13,22,29
3,8,12,1,29
-1
4,2,29,1,9
4,24,29,1,9
4,19,8,15,9
-1
17,9,29,3,28
17,29,1,3,28
17,9,29,8,28
-1
23,9,29,1,12
23,10,11,8,12
23,8,15,29,12
-1
13,29,1,9,3
13,8,9,29,3
13,29,9,17,3
-1
9,17,29,1,3
9,29,1,19,3
9,29,1,8,3
-1
19,9,29,1,12
19,8,16,15,12
19,23,10,11,12
-1
2,23,19,9,10
2,19,23,11,10
2,11,4,23,10
-1
18,19,8,9,29
18,15,19,8,29
18,15,8,1,29
-1
12,1,29,9,8
12,1,18,15,8
12,29,9,19,8
-1
22,1,29,8,23
22,17,19,11,23
22,1,4,2,23
-1
3,9,29,1,12
3,28,13,22,12
3,15,16,29,12
-1
14,12,22,19,9
14,12,22,29,9
14,12,1,29,9
-1
9,8,12,1,29
9,17,3,28,29
9,8,15,19,29
-1
2,29,1,9,19
2,4,29,9,19
2,3,6,10,19
-1
12,1,29,9,4
12,23,11,10,4
12,1,18,15,4
-1
18,15,8,19,3
18,9,29,8,3
18,29,9,17,3
-1
10,11,4,2,23
10,11,4,19,23
10,9,29,8,23
-1
16,29,1,9,15
16,29,1,8,15
16,29,1,3,15
-1
12,1,29,9,15
12,1,29,16,15
12,1,29,8,15
-1
3,19,23,10,11
3,28,19,10,11
3,29,9,17,11
-1
9,17,29,1,19
9,1,29,8,19
9,17,3,28,19
-1
7,9,29,8,15
7,19,8,16,15
7,1,9,8,15
-1
29,9,17,3,28
29,1,9,19,28
29,9,19,8,28
-1
10,11,4,2,8
10,11,9,29,8
10,11,15,18,8
-1
9,29,1,12,14
9,15,1,12,14
9,17,3,12,14
-1
19,8,9,15,22
19,9,12,8,22
19,23,11,10,22
-1
18,15,19,8,22
18,29,9,8,22
18,3,4,24,22
-1
28,29,9,19,23
28,19,11,10,23
28,1,4,2,23
-1
29,1,9,19,8
29,1,18,15,8
29,1,16,9,8
-1
2,9,17,29,1
2,19,9,29,1
2,4,9,29,1
-1
15,9,17,29,3
15,19,8,29,3
15,16,29,9,3
-1
24,9,29,1,12
24,19,8,29,12
24,4,23,10,12
-1
19,9,29,8,17
19,29,1,9,17
19,3,29,9,17
-1
15,9,17,29,1
15,19,8,29,1
15,16,29,9,1
-1
3,1,9,17,8
3,9,17,29,8
3,28,13,22,8
-1
8,15,29,9,16
8,19,9,29,16
8,9,29,1,16
-1
2,19,9,29,8
2,29,18,15,8
2,4,9,29,8
-1
8,29,1,9,19
8,15,29,9,19
8,16,29,9,19
-1
17,9,29,1,12
17,9,29,8,12
17,9,29,3,12
-1
16,29,1,9,17
16,29,8,9,17
16,15,1,9,17
-1
15,29,9,19,23
15,17,19,11,23
15,1,4,2,23
-1
