1,8,5
1,2,5
1,12,5
-1
7,8,5
7,1,5
7,4,5
-1
13,8,5
13,1,5
13,12,5
-1
8,1,12
8,6,12
8,5,12
-1
8,6,5
8,1,5
8,2,5
-1
5,1,7
5,8,7
5,12,7
-1
12,8,7
12,5,7
12,2,7
-1
6,4,2
6,8,2
6,1,2
-1
1,4,3
1,8,3
1,6,3
-1
12,1,10
12,2,10
12,5,10
-1
1,8,6
1,5,6
1,2,6
-1
2,8,12
2,5,12
2,13,12
-1
11,1,6
11,4,6
11,3,6
-1
11,8,1
11,12,1
11,13,1
-1
5,8,11
5,13,11
5,10,11
-1
12,8,2
12,7,2
12,11,2
-1
12,1,9
12,4,9
12,13,9
-1
1,8,4
1,6,4
1,5,4
-1
3,8,11
3,10,11
3,1,11
-1
1,8,10
1,5,10
1,2,10
-1
8,12,1
8,6,1
8,13,1
-1
4,6,8
4,5,8
4,10,8
-1
13,2,12
13,7,12
13,1,12
-1
11,8,2
11,7,2
11,4,2
-1
4,7,12
4,2,12
4,1,12
-1
11,7,12
11,1,12
11,2,12
-1
5,8,12
5,1,12
5,10,12
-1
13,1,3
13,11,3
13,4,3
-1
