8,11,14,3,16
8,11,3,9,16
8,1,5,13,16
8,3,9,4,16
8,2,12,9,16
-1
12,2,11,13,17
12,11,3,1,17
12,3,7,4,17
12,8,5,13,17
12,4,16,9,17
-1
16,11,1,9,5
16,8,13,17,5
16,13,10,11,5
16,2,11,12,5
16,15,11,2,5
-1
15,2,11,9,3
15,17,11,2,3
15,11,2,14,3
15,13,10,11,3
15,2,7,11,3
-1
13,3,4,2,11
13,17,15,10,11
13,12,2,7,11
13,15,5,8,11
13,15,6,2,11
-1
1,11,13,17,4
1,9,14,3,4
1,7,3,2,4
1,9,11,12,4
1,16,11,2,4
-1
11,7,4,16,2
11,9,1,16,2
11,1,3,14,2
11,12,1,9,2
11,5,8,17,2
-1
4,17,15,5,13
4,10,17,15,13
4,8,17,15,13
4,16,9,12,13
4,1,2,11,13
-1
4,8,13,17,10
4,17,13,15,10
4,5,8,13,10
4,6,2,11,10
4,13,16,11,10
-1
11,14,3,1,12
11,9,3,2,12
11,7,4,16,12
11,3,1,6,12
11,10,17,13,12
-1
5,2,11,16,3
5,16,9,1,3
5,2,7,11,3
5,10,17,13,3
5,11,7,4,3
-1
6,11,1,5,15
6,8,11,2,15
6,13,10,17,15
6,9,13,10,15
6,3,14,2,15
-1
5,8,15,13,11
5,9,17,8,11
5,10,17,13,11
5,12,9,16,11
5,9,14,3,11
-1
1,10,13,17,15
1,3,7,4,15
1,16,9,5,15
1,8,11,16,15
1,9,4,2,15
-1
4,8,13,17,11
4,9,5,8,11
4,12,9,16,11
4,10,17,13,11
4,2,1,14,11
-1
15,9,4,2,8
15,10,17,13,8
15,12,2,7,8
15,9,14,11,8
15,17,13,5,8
-1
13,8,15,5,10
13,11,9,16,10
13,11,15,17,10
13,6,2,11,10
13,2,11,4,10
-1
17,15,11,2,13
17,2,10,15,13
17,9,10,6,13
17,15,5,8,13
17,4,10,11,13
-1
13,11,1,16,9
13,2,4,11,9
13,17,11,2,9
13,15,11,2,9
13,8,5,11,9
-1
4,2,11,3,14
4,8,11,2,14
4,3,7,11,14
4,17,11,2,14
4,2,11,12,14
-1
4,13,8,17,6
4,15,13,8,6
4,10,17,13,6
4,3,7,11,6
4,5,8,13,6
-1
3,12,2,11,4
3,17,11,2,4
3,13,15,11,4
3,11,5,8,4
3,7,14,11,4
-1
10,11,2,14,7
10,17,11,2,7
10,3,11,2,7
10,15,13,17,7
10,16,9,13,7
-1
1,11,13,17,8
1,9,4,2,8
1,3,11,10,8
1,6,17,11,8
1,13,17,15,8
-1
9,1,2,11,13
9,1,16,4,13
9,8,15,17,13
9,10,17,15,13
9,5,8,11,13
-1
9,11,2,17,7
9,15,11,2,7
9,13,8,11,7
9,2,3,11,7
9,2,4,11,7
-1
14,8,15,17,13
14,7,3,2,13
14,10,17,15,13
14,2,1,9,13
14,11,16,9,13
-1
10,11,2,14,5
10,8,17,11,5
10,15,17,13,5
10,4,11,2,5
10,12,11,9,5
-1
13,3,7,11,14
13,17,11,2,14
13,8,5,11,14
13,17,15,11,14
13,15,17,10,14
-1
2,13,15,11,7
2,13,15,17,7
2,14,3,11,7
2,9,13,15,7
2,5,8,13,7
-1
8,13,17,10,11
8,5,16,9,11
8,13,15,10,11
8,1,5,13,11
8,2,4,16,11
-1
8,13,15,17,10
8,4,2,11,10
8,5,16,9,10
8,6,2,11,10
8,12,2,7,10
-1
12,14,8,15,16
12,1,9,11,16
12,3,7,4,16
12,13,17,10,16
12,2,11,4,16
-1
3,11,13,17,8
3,5,13,15,8
3,2,1,16,8
3,14,2,1,8
3,7,11,10,8
-1
15,5,8,13,6
15,10,17,13,6
15,4,11,2,6
15,14,11,1,6
15,11,3,9,6
-1
8,11,14,3,17
8,16,9,11,17
8,15,10,13,17
8,11,3,1,17
8,5,16,9,17
-1
8,15,13,17,6
8,15,5,13,6
8,11,14,3,6
8,4,11,2,6
8,10,17,13,6
-1
10,11,2,14,9
10,15,13,17,9
10,8,17,11,9
10,2,4,11,9
10,6,17,11,9
-1
13,11,9,16,4
13,17,11,2,4
13,10,15,11,4
13,6,2,3,4
13,5,8,11,4
-1
11,7,3,14,4
11,16,9,1,4
11,9,3,12,4
11,3,2,14,4
11,13,15,17,4
-1
1,9,4,2,11
1,16,9,8,11
1,2,3,14,11
1,3,2,12,11
1,10,17,13,11
-1
3,11,13,17,6
3,15,11,2,6
3,5,8,13,6
3,10,17,13,6
3,14,11,1,6
-1
5,13,10,15,17
5,2,11,16,17
5,11,3,1,17
5,10,13,8,17
5,8,16,4,17
-1
16,9,5,8,11
16,10,17,13,11
16,3,2,12,11
16,13,15,10,11
16,2,7,3,11
-1
5,11,13,17,6
5,8,15,17,6
5,3,7,4,6
5,10,17,13,6
5,14,11,1,6
-1
11,7,1,5,3
11,2,14,6,3
11,9,16,4,3
11,4,2,12,3
11,15,17,10,3
-1
