1,2,4,6,8,10,13,7,5
1,8,12,11,7,2,6,4,5
1,8,9,10,13,2,6,4,5
-1
7,8,13,1,10,6,11,2,5
7,9,1,2,10,6,4,8,5
7,10,2,4,9,1,8,12,5
-1
13,4,6,10,9,1,8,11,5
13,10,1,8,12,2,6,4,5
13,7,12,1,10,6,4,9,5
-1
8,7,2,10,5,1,6,4,12
8,4,2,3,11,7,1,5,12
8,9,10,1,6,5,13,4,12
-1
8,6,1,10,9,4,3,2,5
8,11,12,7,2,6,4,3,5
8,9,1,6,13,4,3,2,5
-1
5,1,6,4,3,9,10,8,7
5,1,8,12,11,6,4,3,7
5,10,4,8,9,1,6,13,7
-1
12,1,8,2,4,6,13,11,7
12,13,5,2,1,8,10,11,7
12,13,5,10,1,4,6,3,7
-1
6,9,5,1,7,12,8,4,2
6,3,9,5,8,7,10,1,2
6,11,7,12,1,5,4,8,2
-1
1,10,5,2,6,4,11,7,3
1,5,10,7,2,4,6,8,3
1,6,5,13,8,10,4,12,3
-1
12,5,1,6,4,3,9,8,10
12,3,2,4,1,8,7,11,10
12,13,1,2,4,6,9,8,10
-1
1,8,2,11,7,12,4,3,6
1,7,4,5,2,8,10,9,6
1,5,13,8,10,9,4,12,6
-1
2,8,7,1,10,5,6,13,12
2,6,4,1,8,7,11,10,12
2,1,9,5,10,8,7,11,12
-1
11,2,13,8,4,9,1,5,6
11,10,1,4,2,3,5,8,6
11,13,5,8,4,12,7,2,6
-1
11,12,5,10,8,6,4,13,1
11,7,13,4,6,8,2,12,1
11,12,5,8,13,6,4,3,1
-1
5,10,9,1,8,2,6,4,11
5,6,9,1,7,12,13,8,11
5,13,3,1,6,8,2,12,11
-1
12,1,8,10,5,6,4,3,2
12,10,1,13,4,6,8,7,2
12,1,8,7,11,10,5,6,2
-1
12,5,13,1,6,4,3,2,9
12,8,1,10,5,7,2,4,9
12,1,8,7,11,2,4,6,9
-1
1,12,7,2,13,5,8,6,4
1,11,2,6,3,13,10,8,4
1,6,9,5,10,8,7,2,4
-1
3,1,8,2,6,13,7,12,11
3,13,12,8,1,10,4,2,11
3,1,4,9,5,10,8,7,11
-1
1,2,4,6,8,7,11,12,10
1,8,12,6,4,7,5,2,10
1,6,5,13,8,2,3,4,10
-1
8,11,3,12,7,2,4,6,1
8,5,13,12,7,2,6,4,1
8,12,13,7,2,10,5,9,1
-1
4,2,6,1,13,10,5,7,8
4,11,3,12,7,2,6,1,8
4,9,10,1,13,12,7,11,8
-1
13,1,5,9,10,4,8,2,12
13,11,3,7,2,6,4,1,12
13,1,8,7,11,2,6,4,12
-1
11,7,1,5,9,10,4,8,2
11,5,1,4,6,8,12,7,2
11,10,1,4,6,3,5,7,2
-1
4,2,13,11,3,7,1,8,12
4,2,6,1,13,10,5,7,12
4,1,9,5,10,8,7,2,12
-1
11,5,1,6,3,7,8,2,12
11,10,1,6,5,13,8,7,12
11,2,6,4,8,1,7,10,12
-1
5,10,9,1,8,2,11,7,12
5,10,4,8,9,1,6,13,12
5,10,1,4,6,3,2,11,12
-1
13,7,2,12,8,1,6,4,3
13,1,8,7,11,2,6,4,3
13,1,10,5,2,8,6,4,3
-1
